Studio;Datum;Uhrzeit;Wochentag;Stunde;Tagesphase;Auslastung_%;Temperatur_C;Niederschlag_mm;Wettercode;Bewoelkung_%;Wind_kmh;Ist_Wochenende;Ist_Feiertag_BE;Ist_Schulferien_BE
charlottenburg;2026-05-16;10:25;Samstag;10;Morgen;40;;;;;;1;0;0
charlottenburg;2026-05-16;12:38;Samstag;12;Mittag;57;;;;;;1;0;0
charlottenburg;2026-05-16;12:57;Samstag;12;Mittag;54;;;;;;1;0;0
charlottenburg;2026-05-16;12:58;Samstag;12;Mittag;54;;;;;;1;0;0
charlottenburg;2026-05-16;13:01;Samstag;13;Mittag;54;13.9;0.0;3;100;13.6;1;0;0
charlottenburg;2026-05-16;13:32;Samstag;13;Mittag;53;14.1;0.0;3;83;14.1;1;0;0
charlottenburg;2026-05-16;14:20;Samstag;14;Mittag;46;14.2;0.0;80;89;14.1;1;0;0
charlottenburg;2026-05-16;14:46;Samstag;14;Mittag;48;14.0;0.0;80;96;13.7;1;0;0
charlottenburg;2026-05-16;16:24;Samstag;16;Mittag;36;14.0;0.0;3;96;11.9;1;0;0
charlottenburg;2026-05-16;17:29;Samstag;17;Abend;39;14.2;0.0;3;100;12.7;1;0;0
kreuzberg;2026-05-16;17:29;Samstag;17;Abend;38;14.2;0.0;3;100;12.7;1;0;0
prenzlauer_berg;2026-05-16;17:29;Samstag;17;Abend;32;14.2;0.0;3;100;12.7;1;0;0
boetzow;2026-05-16;17:29;Samstag;17;Abend;30;14.2;0.0;3;100;12.7;1;0;0
friedrichshain;2026-05-16;17:29;Samstag;17;Abend;38;14.2;0.0;3;100;12.7;1;0;0
womens_club;2026-05-16;17:29;Samstag;17;Abend;26;14.2;0.0;3;100;12.7;1;0;0
gesundbrunnen;2026-05-16;17:29;Samstag;17;Abend;47;14.2;0.0;3;100;12.7;1;0;0
